Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2004-12-10,65.03,66.05,64.7,65.15,13853100.0,0.0,1.0,4.102082643501075,4.166424090469722,4.081266293011219,4.109652225497387,193943400.0
2004-12-09,62.75,64.4,62.07,63.99,13241100.0,0.0,1.0,3.958260585571159,4.062342338020441,3.9153662875920614,4.036479599533044,185375400.0
2004-12-08,63.15,64.43,62.05,63.28,12355400.0,0.0,1.0,3.9834925255588636,4.064234733519519,3.914104690592676,3.9916929060548676,172975600.0
2004-12-07,65.93,66.73,62.56,62.89,18873200.0,0.0,1.0,4.158854508473411,4.20931838844882,3.9462754140769993,3.9670917645668555,264224800.0
2004-12-06,64.31,66.24,62.95,65.78,22284300.0,0.0,1.0,4.056665151523207,4.178409261963881,3.9708765555650114,4.149392530978021,311980200.0
2004-12-03,64.56,65.0,61.75,62.68,22122300.0,0.0,1.0,4.072435114015523,4.100190248001997,3.8951807356018975,3.9538449960733106,309712200.0
2004-12-02,66.13,66.9,64.66,65.21,17632900.0,0.0,1.0,4.1714704784672625,4.220041962943594,4.078743099012448,4.113437016495542,246860600.0
2004-12-01,67.79,67.95,66.27,67.79,14295600.0,0.0,1.0,4.276183029416237,4.286275805411319,4.180301657462959,4.276183029416237,200138400.0
2004-11-30,68.74,68.79,67.05,67.05,18366400.0,0.0,1.0,4.336108886887035,4.339262879385499,4.229503940438983,4.229503940438983,257129600.0
2004-11-29,69.0,69.57,67.41,68.44,30587800.0,0.0,1.0,4.352509647879043,4.388465162361522,4.252212686427917,4.317184931896257,428229200.0
2004-11-26,65.35,65.76,64.34,64.55,9824000.0,0.0,1.0,4.122268195491238,4.148130933978637,4.058557547022285,4.07180431551583,137536000.0
2004-11-24,61.69,65.2,61.55,64.05,24835500.0,0.0,1.0,3.8913959446037416,4.11280621799585,3.882564765608045,4.040264390531199,347697000.0
2004-11-23,62.29,62.45,61.05,61.27,16275900.0,0.0,1.0,3.9292438545852986,3.9393366305803807,3.851024840623414,3.8649024076166523,227862600.0
2004-11-22,58.04,64.0,57.9,61.35,45860900.0,0.0,1.0,3.661154492215937,4.037110398032736,3.652323313220241,3.869948795614193,642052600.0
2004-11-19,55.49,56.91,54.5,55.17,13665700.0,0.0,1.0,3.5003008747943207,3.589874261750672,3.4378518233247517,3.480115322804157,191319800.0
2004-11-18,54.3,55.45,54.29,55.39,8199100.0,0.0,1.0,3.425235853330899,3.4977776807955503,3.424605054831207,3.4939928897973944,114787400.0
2004-11-17,55.19,55.45,54.22,54.9,7102700.0,0.0,1.0,3.481376919803542,3.4977776807955503,3.420189465333358,3.463083763312456,99437800.0
2004-11-16,55.1,55.2,54.48,54.935,5269700.0,0.0,1.0,3.4756997333063087,3.482007718303235,3.4365902263253663,3.4652915580613803,73775800.0
2004-11-15,55.08,55.46,54.34,55.24,6715100.0,0.0,1.0,3.474438136306923,3.4984084792952426,3.42775904732967,3.4845309123020054,94011400.0
2004-11-12,55.01,55.69,54.84,55.5,7066100.0,0.0,1.0,3.470022546809075,3.5129168447881725,3.4592989723143006,3.500931673294013,98925400.0
2004-11-11,54.95,55.43,54.23,55.3,7273200.0,0.0,1.0,3.4662377558109196,3.496516083796165,3.420820263833051,3.488315703300161,101824800.0
2004-11-10,53.95,55.39,53.91,54.75,9083500.0,0.0,1.0,3.403157905841658,3.4939928897973944,3.400634711842887,3.453621785817067,127169000.0
2004-11-09,54.2,54.55,53.38,54.05,8495800.0,0.0,1.0,3.418927868333973,3.4410058158232144,3.367202391359179,3.4094658908385838,118941200.0
2004-11-08,54.53,55.45,53.86,54.38,9409300.0,0.0,1.0,3.4397442188238294,3.4977776807955503,3.3974807193444243,3.4302822413284404,131730200.0
2004-11-05,54.9,55.0,52.04,54.72,21518700.0,0.0,1.0,3.463083763312456,3.4693917483093824,3.2826753924003684,3.451729390317989,301261800.0
2004-11-04,55.03,55.55,54.37,54.45,16582600.0,0.0,1.0,3.4712841438084605,3.504085665792476,3.4296514428287477,3.4346978308262885,232156400.0
2004-11-03,54.44,56.11,53.99,55.31,21503100.0,0.0,1.0,3.434067032326596,3.5394103817752627,3.4056810998404283,3.4889465017998536,301043400.0
2004-11-02,52.43,54.08,52.4,53.5,13035500.0,0.0,1.0,3.3072765338883805,3.4113582863376615,3.3053841383893023,3.37477197335549,182497000.0
2004-11-01,52.5,53.26,52.04,52.45,10750900.0,0.0,1.0,3.3116921233862286,3.3596328093628673,3.2826753924003684,3.308538130887766,150512600.0
2004-10-29,51.96,53.2,51.8,52.4,14468200.0,0.0,1.0,3.2776290044028276,3.355848018364712,3.2675362284077454,3.3053841383893023,202554800.0
2004-10-28,49.98,52.22,49.5,52.19,15433300.0,0.0,1.0,3.1527309014636895,3.294029765394835,3.1224525734784443,3.2921373698957574,216066200.0
2004-10-27,48.66,50.62,48.17,50.3,21312400.0,0.0,1.0,3.0694654995042643,3.193102005444017,3.0385563730193264,3.172916453453853,298373600.0
2004-10-26,47.45,48.05,46.97,47.97,10613600.0,0.0,1.0,2.993138881041458,3.0309867910230146,2.9628605530562124,3.025940403025474,148590400.0
2004-10-25,47.19,47.84,47.07,47.55,7011500.0,0.0,1.0,2.97673812004945,3.01774002252947,2.9691685380531387,2.999446866038384,98161000.0
2004-10-22,47.4,47.67,47.02,47.41,8626200.0,0.0,1.0,2.989984888542995,3.0070164480346957,2.966014545554676,2.990615687042687,120766800.0
2004-10-21,47.64,48.13,47.36,47.94,12937600.0,0.0,1.0,3.005124052535618,3.036033179020556,2.9874616945442245,3.024048007526396,181126400.0
2004-10-20,47.1,47.6,46.65,47.47,10805500.0,0.0,1.0,2.9710609335522165,3.0026008585368476,2.942675001066049,2.994400478040843,151277000.0
2004-10-19,48.1,48.35,47.31,47.42,14321300.0,0.0,1.0,3.034140783521478,3.0499107460137935,2.984307702045762,2.9912464855423804,200498200.0
2004-10-18,44.79,47.75,44.7,47.75,21442000.0,0.0,1.0,2.8253464801232226,3.0120628360322366,2.819669293625989,3.0120628360322366,300188000.0
2004-10-15,44.91,45.61,44.19,45.5,18413000.0,0.0,1.0,2.8329160621195335,2.8770719570980168,2.7874985701416652,2.870133173601398,257782000.0
2004-10-14,43.03,45.75,42.55,44.98,49436200.0,0.0,1.0,2.714325944177322,2.8859031360937135,2.6840476161920765,2.837331651617382,692106800.0
2004-10-13,38.86,39.76,38.74,39.75,20768000.0,0.0,1.0,2.4512829698055016,2.508054834777837,2.4437133878091903,2.5074240362781444,290752000.0
2004-10-12,38.5,38.58,37.65,38.29,8217700.0,0.0,1.0,2.4285742238165677,2.4336206118141086,2.3749563513426954,2.415327455323023,115047800.0
2004-10-11,38.8,39.06,38.2,38.59,5783400.0,0.0,1.0,2.4474981788073458,2.4638989397993543,2.4096502688257893,2.4342514103138013,80967600.0
2004-10-08,39.55,39.77,38.84,39.06,6414800.0,0.0,1.0,2.494808066284292,2.50868563327753,2.4500213728061166,2.4638989397993543,89807200.0
2004-10-07,40.54,40.93,39.46,39.62,7609800.0,0.0,1.0,2.557257117753861,2.5818582592418733,2.4891308797870586,2.4992236557821403,106537200.0
2004-10-06,39.5,40.76,39.47,40.64,7969700.0,0.0,1.0,2.491654073785829,2.5711346847470984,2.4897616782867513,2.5635651027507875,111575800.0
2004-10-05,38.56,39.67,38.4,39.37,7252900.0,0.0,1.0,2.4323590148147236,2.502377648280604,2.4222662388196414,2.483453693289825,101540600.0
2004-10-04,39.01,39.18,38.75,38.79,10251500.0,0.0,1.0,2.460744947300891,2.4714685217956656,2.444344186308883,2.4468673803076535,143521000.0
2004-10-01,39.15,39.19,38.58,38.67,8310800.0,0.0,1.0,2.4695761262965874,2.472099320295358,2.4336206118141086,2.439297798311342,116351200.0
